clip_index,cohort,asset,category,split,flags,stored_status,decision_evidence,updated_utc,p0_followup
600,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Stand_Heavy_Lfoot.M_Neutral_Jump_RL_Land_Stand_Heavy_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:42.117853+00:00,confirm_viewing_and_add_specific_note
602,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Stand_Light_Lfoot.M_Neutral_Jump_RL_Land_Stand_Light_Lfoot,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:46.279638+00:00,confirm_viewing_and_add_specific_note
604,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Walk_Heavy.M_Neutral_Jump_RL_Land_Walk_Heavy,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:53.746875+00:00,confirm_viewing_and_add_specific_note
607,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Off_Walk_Lfoot.M_Neutral_Jump_RL_Off_Walk_Lfoot,Jump,train,root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:35:17.573826+00:00,confirm_viewing_and_add_specific_note
614,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_B_Land_Stand_Light_Lfoot.M_Relaxed_Jump_B_Land_Stand_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:35:22.055702+00:00,confirm_viewing_and_add_specific_note
615,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_B_Land_Stand_Light_Rfoot.M_Relaxed_Jump_B_Land_Stand_Light_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:35:28.139777+00:00,confirm_viewing_and_add_specific_note
616,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_B_Land_Walk_Heavy.M_Relaxed_Jump_B_Land_Walk_Heavy,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:35:37.944878+00:00,confirm_viewing_and_add_specific_note
617,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_B_Land_Walk_Light.M_Relaxed_Jump_B_Land_Walk_Light,Jump,train,root_speed_over_15_mps_review;pelvis_speed_over_20_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:16.678811+00:00,confirm_viewing_and_add_specific_note
623,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Run_Light_Lfoot.M_Relaxed_Jump_F_Land_Run_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:20.052001+00:00,confirm_viewing_and_add_specific_note
626,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Sprint_Light_Lfoot.M_Relaxed_Jump_F_Land_Sprint_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:23.534137+00:00,confirm_viewing_and_add_specific_note
627,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Stand_Heavy_Lfoot.M_Relaxed_Jump_F_Land_Stand_Heavy_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:27.124846+00:00,confirm_viewing_and_add_specific_note
630,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Stand_Light_Rfoot.M_Relaxed_Jump_F_Land_Stand_Light_Rfoot,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:30.706372+00:00,confirm_viewing_and_add_specific_note
633,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Walk_Light_Lfoot.M_Relaxed_Jump_F_Land_Walk_Light_Lfoot,Jump,train,root_speed_over_15_mps_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:32.787445+00:00,full_playback_and_scene_root_review
634,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Land_Walk_Light_Rfoot.M_Relaxed_Jump_F_Land_Walk_Light_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:32.884588+00:00,full_playback_and_scene_root_review
639,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Start_Run_Lfoot.M_Relaxed_Jump_F_Start_Run_Lfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:32.993792+00:00,full_playback_and_scene_root_review
640,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Start_Run_Rfoot.M_Relaxed_Jump_F_Start_Run_Rfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.136395+00:00,full_playback_and_scene_root_review
641,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Start_Sprint_Lfoot.M_Relaxed_Jump_F_Start_Sprint_Lfoot,Jump,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.251597+00:00,full_playback_and_scene_root_review
642,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_F_Start_Sprint_Rfoot.M_Relaxed_Jump_F_Start_Sprint_Rfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.370040+00:00,full_playback_and_scene_root_review
654,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_LR_Land_Run_Heavy.M_Relaxed_Jump_LR_Land_Run_Heavy,Jump,validation,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.486356+00:00,full_playback_and_scene_root_review
655,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_LR_Land_Stand_Heavy_Lfoot.M_Relaxed_Jump_LR_Land_Stand_Heavy_Lfoot,Jump,test,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.601595+00:00,full_playback_and_scene_root_review
656,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_LR_Land_Stand_Heavy_Rfoot.M_Relaxed_Jump_LR_Land_Stand_Heavy_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:33.717962+00:00,full_playback_and_scene_root_review
658,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_LR_Land_Stand_Light_Rfoot.M_Relaxed_Jump_LR_Land_Stand_Light_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:36:49.580602+00:00,confirm_viewing_and_add_specific_note
659,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_LR_Land_Walk_Heavy.M_Relaxed_Jump_LR_Land_Walk_Heavy,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:55.934297+00:00,full_playback_and_scene_root_review
653,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_Loop_Fall.M_Relaxed_Jump_Loop_Fall,Jump,train,root_height_range_over_10_m_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.045002+00:00,full_playback_and_scene_root_review
663,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_RL_Land_Run_Heavy.M_Relaxed_Jump_RL_Land_Run_Heavy,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.144001+00:00,full_playback_and_scene_root_review
664,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_RL_Land_Run_Light.M_Relaxed_Jump_RL_Land_Run_Light,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.262302+00:00,full_playback_and_scene_root_review
665,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_RL_Land_Stand_Heavy_Lfoot.M_Relaxed_Jump_RL_Land_Stand_Heavy_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.378650+00:00,full_playback_and_scene_root_review
667,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_RL_Land_Stand_Light_Lfoot.M_Relaxed_Jump_RL_Land_Stand_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.494534+00:00,full_playback_and_scene_root_review
669,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Relaxed_Jump_RL_Land_Walk_Heavy.M_Relaxed_Jump_RL_Land_Walk_Heavy,Jump,train,root_speed_over_15_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.611263+00:00,full_playback_and_scene_root_review
1058,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Run/M_Relaxed_Run_Slope_down_Loop_F.M_Relaxed_Run_Slope_down_Loop_F,Run,train,locomotion_without_derived_foot_contact_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.726729+00:00,full_playback_and_scene_root_review
1059,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Run/M_Relaxed_Run_Slope_up_Loop_F.M_Relaxed_Run_Slope_up_Loop_F,Run,train,locomotion_without_derived_foot_contact_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.843791+00:00,full_playback_and_scene_root_review
1219,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Cliff/M_Neutral_Traversal_Catch_Cliff_high_stand.M_Neutral_Traversal_Catch_Cliff_high_stand,Traversal,test,root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:56.961642+00:00,full_playback_and_scene_root_review
1220,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Cliff/M_Relaxed_Traversal_Catch_Cliff_high_stand.M_Relaxed_Traversal_Catch_Cliff_high_stand,Traversal,test,root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:57.078292+00:00,full_playback_and_scene_root_review
1221,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_high_run.M_Neutral_Traversal_Catch_Hurdle_high_run,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:57.197966+00:00,full_playback_and_scene_root_review
1222,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_high_stand.M_Neutral_Traversal_Catch_Hurdle_high_stand,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:57.309995+00:00,full_playback_and_scene_root_review
1223,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_high_walk.M_Neutral_Traversal_Catch_Hurdle_high_walk,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.359826+00:00,full_playback_and_scene_root_review
1224,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_low_run.M_Neutral_Traversal_Catch_Hurdle_low_run,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.475896+00:00,full_playback_and_scene_root_review
1225,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_low_stand.M_Neutral_Traversal_Catch_Hurdle_low_stand,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.593038+00:00,full_playback_and_scene_root_review
1226,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_low_walk.M_Neutral_Traversal_Catch_Hurdle_low_walk,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.711785+00:00,full_playback_and_scene_root_review
1227,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_med_run.M_Neutral_Traversal_Catch_Hurdle_med_run,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.833281+00:00,full_playback_and_scene_root_review
1228,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_med_stand.M_Neutral_Traversal_Catch_Hurdle_med_stand,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:36:59.943982+00:00,full_playback_and_scene_root_review
1229,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Neutral_Traversal_Catch_Hurdle_med_walk.M_Neutral_Traversal_Catch_Hurdle_med_walk,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:37:00.086064+00:00,full_playback_and_scene_root_review
1230,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Relaxed_Traversal_Catch_Hurdle_high_stand.M_Relaxed_Traversal_Catch_Hurdle_high_stand,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:37:00.227460+00:00,full_playback_and_scene_root_review
1231,conditioned_a189cab6fd1d9343_p02.json,/Game/Characters/UEFN_Mannequin/Animations/Traversal/Catch/Hurdle/M_Relaxed_Traversal_Catch_Hurdle_low_stand.M_Relaxed_Traversal_Catch_Hurdle_low_stand,Traversal,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review;pelvis_speed_over_20_mps_review,approved,bulk_mark_no_individual_view_claim,2026-09-24T06:37:00.370725+00:00,full_playback_and_scene_root_review
